Name	Coefficient	Coefficient_std_error	Coefficient_P_value
A07.541.Heart	-1.3044832737e-10	9.04627246443e-10	0.557329200199
A05.810.453.Kidney	-1.43725313486e-10	9.24387087727e-10	0.561779226154
A11.436.275.Endothelial.Cells	-2.90347743859e-10	1.63562129574e-09	0.570448161112
A03.556.500.760.464.Parotid.Gland	-2.26485305269e-10	9.68333492166e-10	0.592465527089
A05.360.319.679.Uterus	-3.48577304302e-10	1.41651807149e-09	0.597189994396
A07.231.908.670.874.Umbilical.Veins	-3.63718924063e-10	1.46506879463e-09	0.598033626689
A10.615.Membranes	-5.00639998763e-10	1.91552953726e-09	0.603091985908
A15.382.520.604.700.Spleen	-4.61449214336e-10	1.60534611904e-09	0.613114314394
A10.615.550.599.Mouth.Mucosa	-2.62927575569e-10	8.95544608692e-10	0.615466368183
A15.145.300.Fetal.Blood	-3.81538040968e-10	1.22189373601e-09	0.622575267551
A07.541.560.Heart.Ventricles	-2.96215551873e-10	9.38195067464e-10	0.62389595882
A11.436.294.064.Glucagon.Secreting.Cells	-3.26879831202e-10	9.98404902256e-10	0.628318099298
A08.186.211.730.885.287.500.270.Frontal.Lobe	-2.70285864071e-10	8.23403295896e-10	0.628640390571
A08.186.211.730.885.287.500.670.Parietal.Lobe	-2.79056335327e-10	8.28017132182e-10	0.631948178563
A11.329.629.Osteoblasts	-3.72245456775e-10	1.07566574906e-09	0.635351386476
A10.615.284.473.Chorion	-4.02466429093e-10	1.10472378704e-09	0.64218825617
A11.872.378.590.635.Granulocyte.Macrophage.Progenitor.Cells	-3.8497690559e-10	1.05135381733e-09	0.642881837146
A07.231.908.Veins	-5.74916071339e-10	1.55882989683e-09	0.643866285266
A15.382.Immune.System	-4.40927754114e-10	1.1059732428e-09	0.654934944324
A08.186.211.132.Brain.Stem	-3.60880331003e-10	8.31423248863e-10	0.667874400749
A11.443.Erythroid.Cells	-4.8560549868e-10	8.65464105621e-10	0.712632791152
A15.145.846.Serum	-7.96885599017e-10	1.20618880573e-09	0.745586112905
A11.118.637.Leukocytes	-8.47251039281e-10	1.23063554693e-09	0.754420391474
A07.541.358.100.Atrial.Appendage	-6.65295356953e-10	8.8930448403e-10	0.772802341633
A11.436.397.Keratinocytes	-9.77936126208e-10	1.28435517406e-09	0.77679743742
A15.382.490.555.567.537.Killer.Cells..Natural	-8.70605195538e-10	1.12294862287e-09	0.780914357301
A09.371.729.Retina	-7.29376398353e-10	9.29511419423e-10	0.783681721488
A10.272.497.Epidermis	-9.37867834082e-10	1.15619752388e-09	0.791364754846
A10.549.400.Lymph.Nodes	-8.2636159237e-10	9.80036005343e-10	0.80044034073
A11.627.635.Myeloid.Progenitor.Cells	-8.72962209091e-10	9.75434760665e-10	0.814592233921
A15.145.229.637.555.Leukocytes..Mononuclear	-8.88068694718e-10	9.89178498724e-10	0.81534965947
A08.186.211.132.810.428.200.Cerebellum	-8.2815624397e-10	8.83213039678e-10	0.82579120413
A14.724.Pharynx	-8.97930731527e-10	9.37702134236e-10	0.830864298769
A07.541.358.Heart.Atria	-8.87561820869e-10	9.04921401993e-10	0.836658374161
A11.872.378.Hematopoietic.Stem.Cells	-9.92746043412e-10	9.83350144652e-10	0.843645727891
A05.810.453.324.Kidney.Cortex	-1.06361539842e-09	1.03466436318e-09	0.848020638206
A08.186.211.730.885.287.249.487.Corpus.Striatum	-9.8153616901e-10	9.32457365521e-10	0.853745577208
A11.497.497.600.Oocytes	-1.01751397822e-09	8.72421170845e-10	0.878255536725
A08.186.211.865.428.Metencephalon	-1.04253586439e-09	8.78794375729e-10	0.882253039696
A11.329.171.Chondrocytes	-1.32859343597e-09	1.10503484492e-09	0.885378101306
