Name	Coefficient	Coefficient_std_error	Coefficient_P_value
T.8Mem.Sp.OT1.d100.LisOva	2.51421066306e-10	1.12784247508e-09	0.411798049529
MF.480int.LV.Naive	3.32093027659e-10	1.55259868329e-09	0.415314486718
T.4Nve.Sp	2.47641945352e-10	1.23494145983e-09	0.420533322985
CD8.24h.LN	2.73042529657e-10	1.36908468077e-09	0.420961491718
DC.8+.SLN	3.37431208446e-10	1.74067786864e-09	0.423146486833
Tgd.vg2-.Sp	2.19960482563e-10	1.1482504467e-09	0.424042883774
MF.480hi.LV.Naive	2.9231660922e-10	1.64704142453e-09	0.429565758968
LEC.SLN.CFA.d6.v2	2.06458930869e-10	1.21913491264e-09	0.43276118013
B.MZ.Sp	1.98987524948e-10	1.21612020868e-09	0.435013228072
T.4FP3-.Sp	2.11704128062e-10	1.34498384284e-09	0.437463731202
Mo.6+2+.MLN	2.9498865271e-10	1.9422201339e-09	0.43963992674
Tgd.vg2+.Sp.TCRbko	1.482793849e-10	1.00365357493e-09	0.441274136302
B1a.Sp	1.50424829912e-10	1.05600616856e-09	0.443363500324
preT.DN3B.Th	1.83725929702e-10	1.30177080759e-09	0.44388149342
CD4.24h.LN	1.8672966321e-10	1.44200449937e-09	0.448483733861
Mo.6+2+.SLN	2.33167884917e-10	1.85938411189e-09	0.450103206214
NK.DAP10-.Sp	1.50639517841e-10	1.21208526049e-09	0.450546281057
T.8Mem.Sp	1.39738273143e-10	1.15442457786e-09	0.451827370243
DC.IIhilang-103-11blo.SLN	1.9276253042e-10	1.73322861203e-09	0.455722583077
DC.pDC.8-.Sp	1.74848733928e-10	1.63861999009e-09	0.457511559264
DC.pDC.8+.MLN	1.75611489629e-10	1.68322754516e-09	0.458453650806
T.8Mem.Sp.OT1.d45.LisOva	1.13810212567e-10	1.20370635763e-09	0.462336206783
Mo.6C-IIint.Bl	1.60756808404e-10	1.88766563804e-09	0.466066420789
DC.IIhilang+103-11b+.SLN	1.39312474211e-10	1.66548120964e-09	0.466668556392
CD4Control	8.34594433145e-11	1.2317080313e-09	0.472988696127
DC.103+11b-.Lv	9.00223203839e-11	1.63464730905e-09	0.478040789411
Mo.6+2+.BL	1.08978277927e-10	2.06111403981e-09	0.478916356209
T.8SP24int.Th	5.77908948743e-11	1.19862857735e-09	0.480772774366
DC.8-4-11b-.MLN	7.98721237141e-11	1.79219394199e-09	0.482226353151
NK.CD49b+.Lv	3.03758258839e-11	8.41978103413e-10	0.485610584161
T.8Nve.PP	3.04035130661e-11	9.83818362007e-10	0.487673215967
B.GC.Sp	3.145933163e-11	1.07117676033e-09	0.488285170107
preT.ETP-2A.Th	3.21992503934e-11	1.26827573204e-09	0.48987265764
MF.PPAR-.Lu	2.31405521167e-11	1.74654182657e-09	0.494714426875
Tgd.vg5+24ahi.Th	6.81721878838e-12	1.25165586668e-09	0.497827147673
DC.pDC.8+.SLN	3.8224980093e-12	1.74642246321e-09	0.499126812162
SC.MDP.BM	-2.10185490477e-11	1.17505346835e-09	0.507135624877
T.4Mem.LN	-3.09731707679e-11	1.03720845121e-09	0.511911464026
T.4Nve.PP	-3.35374256998e-11	1.10507928475e-09	0.512105415188
preT.DN2A.Th	-4.8173873731e-11	1.3497087192e-09	0.514236045932
MF.11cloSer.SI	-7.20969232324e-11	1.6622703758e-09	0.51729772486
MF.Lu	-7.51698765209e-11	1.63922137182e-09	0.518287911253
T.8SP24-.Th	-1.05017255396e-10	1.25472677679e-09	0.533351451832
Mo.6C+II-.LN	-1.87817089678e-10	2.01490611887e-09	0.537133150988
T.4.PLN.BDC	-1.1975488783e-10	1.25547827737e-09	0.53799583052
T.4Mem44h62l.Sp	-1.36286824718e-10	1.16958889581e-09	0.546381925196
T.8Eff.Sp.OT1.d5.VSVOva	-1.43865661817e-10	1.14787332985e-09	0.549869778711
preB.FrC.BM	-1.17131625139e-10	9.14114607326e-10	0.550979601727
T.4+8int.Th	-1.30889730845e-10	9.68146019584e-10	0.55377165201
DC.8-4-11b-.SLN	-2.70120382128e-10	1.88371784763e-09	0.557011861312
DC.8-4-11b+.SLN	-2.79179929121e-10	1.81602949995e-09	0.56108905744
T.8Mem.Sp.OT1.d45.VSVOva	-2.0072559243e-10	1.28851577962e-09	0.561896966919
NKT.4-.Sp	-1.86928945057e-10	1.10941521136e-09	0.5669023628
T.8Eff.Sp.OT1.d6.LisOva	-1.91774644728e-10	1.1273909262e-09	0.567536153462
MF.F480hi.Gata6ko.PC	-3.17314792552e-10	1.77417399724e-09	0.570973093041
preT.DN3A.Th	-2.19100233746e-10	1.2168468169e-09	0.571445588935
Tgd.vg1+vd6-24ahi.Th	-2.39161370325e-10	1.19715893025e-09	0.579171378242
B.Mem.Sp.v2	-1.98899529464e-10	9.88049495794e-10	0.579770042728
NKT.44+NK1.1-.Th	-2.18005199687e-10	1.05400409017e-09	0.58193073715
B1b.PC	-2.49105591101e-10	1.07922946617e-09	0.591271903098
T.ISP.Th	-2.43294912067e-10	1.04761864513e-09	0.59182269599
Tgd.vg2+.act.Sp	-2.64937992009e-10	1.08296078073e-09	0.596633287152
DC.8-4-11b+.MLN	-4.91842457857e-10	1.88749336428e-09	0.602791677652
Mo.6C-II-.Bl	-4.99230243067e-10	1.89552156492e-09	0.603868662291
Tgd.vg5+.IEL	-2.89579736346e-10	1.08619724245e-09	0.60511126321
NK.H+.MCMV1.Sp	-3.17283692957e-10	1.14415396523e-09	0.609228407846
Mo.6C+II+.Bl	-4.86876265211e-10	1.69294961578e-09	0.613169899906
NKT.44-NK1.1-.Th	-3.50379774608e-10	1.13478942614e-09	0.62124868517
T.4Mem44h62l.LN	-3.62974431214e-10	1.16487397512e-09	0.622327635191
T.DP.Th.v2	-3.14042593783e-10	9.79937009493e-10	0.62569480888
Tgd.vg5+.act.IEL	-4.2086668053e-10	1.21865590827e-09	0.635085560473
Eo.BL.v2	-2.72578413833e-10	7.84343421787e-10	0.635901274289
T.8Nve.Sp	-3.29527464733e-10	8.84246392253e-10	0.645301014212
T.DPsm.Th	-4.12560958318e-10	1.08500206086e-09	0.648116288228
T.4Nve.MLN	-4.35604617547e-10	1.13969404158e-09	0.648847899661
MF.11cloSer.Salm3.SI	-7.09348043384e-10	1.82106614199e-09	0.651555532092
FRC.SLN.CFA.d6.v2	-5.14623854104e-10	1.28305850051e-09	0.655823619374
MF.103-11b+.SI	-6.976980104e-10	1.69302363932e-09	0.659867578238
T.8Nve.LN	-5.04371393243e-10	1.21931326546e-09	0.660435514281
MF.F480hi.ctrl.PC	-7.33891243812e-10	1.71501114405e-09	0.66564609733
SC.MPP34F.BM	-4.66629191238e-10	1.07783834121e-09	0.667467402766
DC.IIhilang+103+11blo.SLN	-8.15441361686e-10	1.70815686263e-09	0.68345452316
Tgd.vg2+.Sp	-5.53008801373e-10	1.1571885611e-09	0.683635738059
Tgd.vg3+24alo.e17.Th	-5.84288572515e-10	1.21484780562e-09	0.684726182222
Tgd.vg5-.act.IEL	-5.61625707145e-10	1.16745752592e-09	0.684765686577
T.8Nve.MLN	-6.17489241177e-10	1.24140030831e-09	0.690551247414
CD8.48h.LN	-5.57299358266e-10	1.11607302444e-09	0.691229887615
T.8Nve.Sp.OT1	-5.86268476953e-10	1.168106381e-09	0.692129828077
ILC2.SI	-4.52389499762e-10	8.79512516319e-10	0.696501207865
DC.103-11b+F4/80lo.Kd	-4.84243071932e-10	9.39793280485e-10	0.696816254591
NK.MCMV1.Sp	-5.49773039677e-10	1.03426669708e-09	0.702484021143
