Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CDTS_top1-2_unrelated	1.76918606316e-08	2.62568106975e-08	0.25021897609
CDTS_top2-5_unrelated	4.43660778455e-09	1.32335696317e-08	0.368716727227
CDTS_top5-10_unrelated	3.06388293345e-09	9.22435461558e-09	0.369887443831
CDTS_top1_unrelated	5.27346935298e-09	1.67816957596e-08	0.376669624928
CDTS_top1_all	4.20595214276e-09	1.67047422084e-08	0.40060481471
CDTS_top1-2_all	5.77563050076e-09	2.58813401488e-08	0.411706233389
CDTS_top5-10_all	-3.24516002028e-09	8.44553148189e-09	0.649601863142
CDTS_top2-5_all	-5.96945359364e-09	1.18667676702e-08	0.692531770732
